"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-01","0.0","0.0","0.0","13.4","17.8","8.3"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-02","0.0","0.0","0.0","13.1","21.1","5.0"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-03","22.9","0.0","0.0","12.8","13.9","11.1"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-04","0.3","0.0","0.0","17.7","26.1","13.3"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-05","26.4","0.0","0.0","19.6","20.6","15.0"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-06","5.1","0.0","0.0","15.9","18.3","14.4"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-07","6.6","0.0","0.0","16.3","21.1","13.3"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-08","9.1","0.0","0.0","14.8","17.2","12.8"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-09","0.3","0.0","0.0","14.1","18.3","11.7"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-10","0.0","0.0","0.0","14.6","18.9","9.4"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-11","0.0","0.0","0.0","14.8","23.9","7.2"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-12","0.0","0.0","0.0","16.7","25.6","9.4"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-13","0.0","0.0","0.0","18.9","27.2","11.7"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-14","0.0","0.0","0.0","20.6","25.0","15.6"
"USW00014742","BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US","44.4683","-73.1499","100.6","2017-09-15","0.0","0.0","0.0","21.8","27.2","17.8"
